전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
101.83,2,57,43,1,0,0,0,0,0,0,0,0,0,1,11.39640288460621
84.975,22,56,42,0,1,0,0,0,0,0,0,0,0,0,10.41933057
39.11,14,59,37,0,0,0,0,1,0,0,0,0,0,1,9.059633755
59.9584,4,55,40,0,0,0,0,0,0,0,0,0,0,0,9.110630528
59.94,3,60,38,0,0,0,0,0,0,0,0,1,0,1,9.179984251961285
84.918,5,58,44,0,0,0,0,1,0,0,0,0,0,0,10.839600519357369
39.78,5,58,31,0,1,0,0,0,0,0,0,0,0,0,8.987321812850125
84.91,2,56,40,0,0,0,0,1,0,0,0,0,0,1,9.809231816610408
101.76,7,56,32,0,0,0,0,1,0,0,0,0,0,0,10.96476135554887
84.78,4,60,47,0,0,0,0,1,0,0,0,0,0,0,10.434145214930489
75.95,15,57,43,0,0,0,0,1,0,0,0,0,0,1,10.12667110305036
39.86,13,60,43,0,0,0,0,0,0,0,0,1,0,0,8.657129031713755
59.978,12,55,53,1,0,0,0,0,0,0,0,0,0,0,10.63347280231402
99.6699,29,59,58,0,0,0,0,1,0,0,0,0,0,0,11.104972264124868
42.75,11,55,33,0,0,0,0,1,0,0,0,0,0,0,9.564582358673212
60.0,1,60,45,1,0,0,0,0,0,0,0,0,0,1,10.640675541671662
84.992,3,63,50,0,0,0,1,0,0,0,0,0,0,0,10.714439990727769
49.77,2,59,34,0,0,0,1,0,0,0,0,0,0,0,9.648659816955297
84.986,1,62,47,0,0,0,0,0,0,0,0,0,1,1,9.878221025
84.913,4,57,50,1,0,0,0,0,0,0,0,0,0,1,10.898607948952096
59.905,5,59,51,0,0,0,1,0,0,0,0,0,0,0,10.63106031411106
134.63,16,57,33,0,0,0,1,0,0,0,0,0,0,0,10.484333519758916
84.75,4,55,41,0,0,0,0,0,0,0,0,0,0,0,9.825580063659602
84.7712,20,55,49,0,0,0,0,0,0,0,0,0,0,1,10.703266939811954
84.87,5,60,40,1,0,0,0,0,0,0,0,0,0,0,11.156264806643742
37.67,2,55,35,1,0,0,0,0,0,0,0,0,0,1,10.034559673629849
59.8,9,62,37,0,0,0,0,0,0,0,0,0,0,1,9.792611856190192
59.88,3,62,37,0,0,0,0,1,0,0,0,0,0,0,10.275085591132717
59.952,9,60,38,0,0,0,0,1,0,0,0,0,0,1,9.581972891547895
45.36,12,58,41,0,0,0,0,0,0,0,1,0,0,1,8.243019469
74.3558,12,58,56,0,0,0,1,0,0,0,0,0,0,0,10.591647316585028
84.963,4,61,43,0,0,0,0,1,0,0,0,0,0,1,9.667828508
42.18,1,55,29,0,0,0,0,1,0,0,0,0,0,1,9.159152335
59.95,1,57,38,1,0,0,0,0,0,0,0,0,0,1,10.736418414365374
72.89,2,55,28,0,0,0,0,1,0,0,0,0,0,1,9.792611856190192
37.67,11,62,35,0,0,0,0,1,0,0,0,0,0,0,10.87806606028079
49.76,10,58,39,0,0,0,0,0,1,0,0,0,0,0,9.350189267
49.24,4,62,34,0,0,0,1,0,0,0,0,0,0,0,10.229223792606836
84.98,1,56,35,0,0,0,0,0,0,0,0,0,0,0,9.554000996
49.29,6,57,40,0,0,0,0,0,0,0,0,0,0,0,8.974744612722734
84.96,10,59,47,0,0,0,0,1,0,0,0,0,0,0,10.584081267024454
92.93,1,57,32,0,0,0,1,0,0,0,0,0,0,0,10.142543822310389
41.85,2,57,34,0,0,0,0,0,0,1,0,0,0,1,8.699681400989514
80.99,5,61,47,0,0,0,0,0,0,1,0,0,0,1,9.729193687429404
84.9647,8,59,55,0,0,0,0,0,0,0,0,1,0,1,10.465984899076616
41.52,2,60,20,0,0,0,0,0,0,0,0,0,0,1,8.006700845440367
68.5,13,57,35,0,0,0,0,0,0,0,0,0,1,1,8.867990898182093
58.01,12,56,29,0,0,0,0,1,0,0,0,0,0,1,10.177362240256697
59.78,18,56,45,1,0,0,0,0,0,0,0,0,0,0,10.736418414365374
70.709,17,62,58,0,0,0,0,0,0,0,0,1,0,0,10.064798252418376
114.781,2,57,48,0,0,0,0,0,0,0,0,0,0,1,10.515993929932415
