지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
28185,동춘동,2015-04-02 0:00,동남,943,52.14,14,1994,17400
11650,잠원동,2015-03-23 0:00,신반포5,Aug-64,101.91,8,1980,95000
48330,물금읍 범어리,2020-12-05 0:00,양산2차e-편한세상,Aug-73,84.99,9,2007,24800
11350,하계동,2019-11-01 0:00,미성,280,72.17,13,1989,56500
41550,공도읍 진사리,4/26/2020 0:00,주은청설,Jan-36,39.75,7,2000,8000
29200,장덕동,2023-01-29 0:00,양우내안애,1109,84.9423,22,2008,"38,000"
26290,대연동,9/22/2018 0:00,대연힐스테이트푸르지오,1858,84.92,9,2013,51500
41410,산본동,2017-07-08 0:00,매화,1055,49.69,8,1995,22000
41113,고색동,1/5/2019 0:00,태산1,886-83,59.96,8,1997,19300
41250,지행동,2016-04-27 0:00,대방노블랜드(7단지),692-1,50.3,10,2004,12900
11305,번동,5/30/2018 0:00,주공4단지,234,49.94,15,1991,24800
41465,상현동,11/19/2019 0:00,상현마을성원상떼빌,866,106.52,3,2002,46000
28237,청천동,2016-08-06 0:00,미가로,199-24,59.9886,8,2006,23800
41390,능곡동,4/25/2020 0:00,우남퍼스트빌,802,142.6106,8,2008,51000
11590,신대방동,2017-05-29 0:00,우성1,565,66.69,6,1988,46700
45113,송천동2가,2022-05-14 0:00,에코시티자이,1308,84.9839,10,2017,"53,800"
41281,화정동,2017-12-12 0:00,달빛(라이프)2,851,49.95,16,1996,20100
27290,상인동,2016-04-18 0:00,상인역 신일해피트리,150-11,84.48,22,2007,36000
41480,문산읍 문산리,2022-05-21 0:00,한진,17-29,71.28,10,1992,"18,000"
45140,모현동1가,2016-10-14 0:00,익산e편한세상,954,59.904,15,2012,18700
42110,후평동,2016-02-12 0:00,초록지붕6차,903,80.6164,1,2004,11240
41135,구미동,1/14/2020 0:00,무지개(4단지)(주공),220,58.14,2,1995,51700
26350,반여동,2015-06-23 0:00,벽산한솔타운,1063-2,59.794,13,1995,13500
41210,철산동,6/5/2018 0:00,주공12,449,60.21,15,1986,45500
29155,백운동,2017-12-18 0:00,대흥사직스카이,409,84.63,4,1991,14500
44133,성정동,2020-04-29 0:00,천안역 우방 아이유쉘,1562,84.9988,7,2018,27200
45140,어양동,1/18/2019 0:00,부영1차,652-1,39.952,5,1998,6400
47113,두호동,2015-02-07 0:00,두호주공,1022,59.3,3,1984,12500
42150,교동,2017-07-23 0:00,교동3주공,1766,59.74,14,2002,18600
42150,교동,2022-03-19 0:00,교동1주공,1750,59.89,2,1999,"23,900"
48123,남양동,2015-04-27 0:00,성원2차,22,79.69,1,1992,24500
30170,갈마동,2016-08-30 0:00,경성큰마을,1418,59.9,3,1995,18300
43150,장락동,2017-07-19 0:00,장락파라디아,325,84.9846,13,2008,22000
