지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
41150,4,59.94,13,18800,0,기타동,ㅅ,9.841665339,60,35
30110,12,55.43,4,9000,0,기타동,ㅊ,9.105090961,59,20
11680,6,126.33,2,154500,1,기타동,ㅎ,11.94795585,55,25
44133,6,59.92,20,17500,0,기타동,E,9.770013301,58,55
48170,8,59.5,3,13300,0,기타동,ㄷ,9.495594499,58,38
11650,12,121.48,3,153500,1,기타동,ㅅ,11.94146236,56,50
48170,10,33.39,6,5000,0,평거동,ㄱ,8.517393171,58,32
47111,12,102.609,13,30000,1,기타동,ㅇ,10.30898599,60,40
48250,3,84.923,15,23300,0,내동,ㄷ,10.05625156,56,34
11230,4,70.25,4,31000,1,장안동,ㅇ,10.34177474,58,44
41590,4,84.99,6,24400,1,반월동,ㅅ,10.10237939,58,42
26350,4,49.2553,13,33200,1,우동,ㅅ,10.41033527,62,58
28200,3,74.92,6,17200,0,만수동,ㅅ,9.752722801,55,30
48129,3,59.7768,6,7500,0,기타동,ㅎ,8.922791624,59,42
43770,7,59.9782,19,17569,0,기타동,ㅇ,9.773948181,62,62
29155,4,59.92,5,12500,0,기타동,ㅁ,9.43356392,57,28
41480,10,116.72,10,35400,1,와동동,ㄱ,10.47449535,55,51
27260,6,52.53,1,28000,1,중동,ㄷ,10.2399955,60,20
11290,7,59.99,19,85500,1,길음동,ㄱ,11.35628335,61,43
41210,7,58.24,7,29900,1,기타동,ㅈ,10.3056472,59,39
11200,9,84.98,15,94500,1,기타동,ㅎ,11.4563657,58,43
44200,1,84.7086,8,48500,1,기타동,ㅇ,10.7893397,63,51
41570,7,84.813,3,20000,0,기타동,ㅈ,9.903537551,56,50
41190,11,59.76,12,24650,1,상동,ㅂ,10.11257275,55,33
41370,7,49.95,14,16600,0,원동,ㅇ,9.717218213,57,39
30110,6,30.4816,4,6750,0,기타동,ㅋ,8.817445921,56,39
42210,9,54.58,8,12600,0,교동,ㅅ,9.441531455,62,34
26290,10,84.98,23,39400,1,용호동,ㅇ,10.58154648,55,41
41173,8,73.7977,5,26800,1,호계동,ㅅ,10.19619448,55,43
41117,4,49.68,13,18400,0,매탄동,ㅅ,9.82016029,56,28
11410,12,59.96,11,40800,1,기타동,ㅇ,10.61646187,57,39
48310,6,84.9511,18,20000,0,기타동,ㅂ,9.903537551,60,55
46150,12,56.4,6,9800,0,기타동,ㅊ,9.1902397,55,41
41220,4,84.9758,8,37698,1,기타동,ㅍ,10.53738885,62,61
11560,9,80.92,1,37800,1,기타동,ㅎ,10.54009084,55,30
42210,5,59.9027,20,21750,0,조양동,ㅅ,9.987415012,59,59
48310,6,73.65,2,5650,0,기타동,ㅎ,8.6395878,60,25
11590,10,12.7071,4,11800,0,상도동,ㅆ,9.375939553,62,52
44131,7,84.91,7,20800,0,기타동,ㄱ,9.942756341,60,48
28237,8,59.2488,9,24000,0,삼산동,ㅅ,10.08585078,55,45
11680,3,28.3132,5,33250,1,기타동,ㅊ,10.41184012,62,53
26410,9,157.7983,24,70000,1,구서동,ㄱ,11.15626481,56,50
48310,3,74.99,13,22500,0,기타동,ㄱ,10.02131503,57,57
28200,8,49.72,8,13600,0,만수동,ㄷ,9.517898598,60,34
41220,7,44.1,2,7300,0,기타동,ㄱ,8.895766604,62,27
41480,9,59.99,9,20600,0,기타동,ㅎ,9.933094897,60,41
41190,9,52.58,1,21400,0,기타동,ㅅ,9.971192929,59,24
27230,10,84.9989,3,35000,1,기타동,ㅂ,10.46313191,62,53
45140,3,39.952,4,7150,0,기타동,ㅂ,8.875007486,58,38
28185,11,68.96,20,64500,1,송도동,ㅅ,11.07443601,59,57
44133,7,39.3,1,11000,0,기타동,ㅈ,9.305741457,57,28
47900,10,84.89,7,8700,0,기타동,ㅎ,9.071193241,60,45
31140,2,84.76,2,23000,0,신정동,ㅇ,10.04329297,55,28
26500,3,76.67,2,45800,1,기타동,ㅅ,10.7320612,59,17
41220,5,75.52,18,41500,1,기타동,ㅍ,10.6334728,62,57
26230,5,79.93,9,21400,0,기타동,ㅅ,9.971192929,56,20
11215,6,154.15,9,69300,1,기타동,ㄱ,11.14621462,57,44
43114,2,59.9853,10,19000,0,기타동,ㅇ,9.852246888,58,56
28200,7,59.9945,2,22800,0,기타동,ㅅ,10.03455967,57,48
26320,3,59.98,4,30000,1,기타동,ㄱ,10.30898599,63,59
26380,8,61.29,4,12000,0,기타동,ㅅ,9.392745259,56,18
41550,9,59.854,13,9200,0,기타동,ㄷ,9.127067453,59,47
30140,11,84.9979,8,32700,1,기타동,ㄷ,10.39516094,56,53
28237,11,73.96,2,23500,0,산곡동,ㅇ,10.06479825,59,29
26230,8,84.5,3,14800,0,개금동,ㅅ,9.602450025,62,32
41360,3,59.79,1,8000,0,오남읍 오남리,ㅂ,8.987321813,55,31
41480,1,84.992,13,29000,1,야당동,ㅈ,10.27508559,58,44
26290,2,59.99,10,17300,0,대연동,ㄷ,9.758519582,58,40
42170,2,59.8993,6,17000,0,기타동,ㅎ,9.741027445,59,58
47113,4,59.96,3,6100,0,기타동,ㄱ,8.716207971,59,34
28110,7,72.73,11,18000,0,기타동,ㄹ,9.798182591,62,20
11545,7,129.66,8,93500,1,기타동,ㅎ,11.44572741,61,31
31710,9,73.8,2,17000,0,기타동,ㅎ,9.741027445,56,38
46130,3,59.85,8,7200,0,기타동,ㅊ,8.881975184,57,43
41570,1,84.97,13,32000,1,기타동,ㅇ,10.37352243,61,50
11350,9,49.77,4,24500,1,월계동,ㅊ,10.10646921,58,38
41287,11,59.31,10,26400,1,일산동,ㅎ,10.18115717,56,35
48123,10,84.91,2,22000,0,상남동,ㅅ,9.998843186,59,34
26530,11,84.99,11,18500,0,기타동,ㅅ,9.825580064,58,33
28140,8,84.961,4,22000,0,기타동,ㅇ,9.998843186,55,41
42170,7,39.3,1,5400,0,기타동,ㅂ,8.594339401,58,29
41135,9,84.97,2,50900,1,정자동,ㅈ,10.83763785,56,35
41360,6,84.9272,4,27000,1,평내동,ㅍ,10.20362918,60,45
41117,9,84.8974,7,62400,1,매탄동,ㅁ,11.04133658,60,48
11230,11,18.92,3,13800,0,답십리동,ㅊ,9.532496332,62,55
30170,10,72.9,12,12000,0,기타동,ㄱ,9.392745259,59,26
45113,11,84.797,1,28000,1,기타동,ㅎ,10.2399955,62,52
45113,12,74.98,11,24900,1,기타동,ㅇ,10.12266324,59,53
27290,5,84.2245,6,46000,1,기타동,ㄷ,10.73641841,60,56
31200,3,49.5,6,7400,0,천곡동,ㅇ,8.909370405,62,38
41550,9,59.67,15,9300,0,기타동,ㅌ,9.1378772,58,39
30170,3,43.344,14,9000,0,기타동,ㅎ,9.105090961,57,40
30140,5,120.66,15,18000,0,기타동,ㅅ,9.798182591,57,28
41430,2,84.9404,10,81000,1,기타동,ㅇ,11.30221678,63,59
41190,6,58.05,2,16500,0,송내동,ㄱ,9.711176264,55,24
41117,12,73.79,10,51500,1,영통동,ㅅ,10.8493565,62,37
42110,6,59.76,9,13500,0,퇴계동,ㅎ,9.510519036,56,34
29140,11,140.8571,3,38000,1,금호동,ㅋ,10.54536775,55,46
27260,8,40.58,3,12000,0,지산동,ㅈ,9.392745259,60,31
41190,4,84.8,10,60000,1,기타동,ㅇ,11.00211651,63,57
42130,5,39.6,1,7500,0,기타동,ㄷ,8.922791624,62,34
36110,3,59.9917,4,28500,1,고운동,ㄱ,10.25769445,60,55
41173,5,39.6,3,23400,0,관양동,ㄱ,10.06053404,58,33
42130,2,42.96,5,5700,0,일산동,ㅇ,8.648396877,60,33
28185,11,101.617,15,51700,1,송도동,ㅇ,10.8532324,59,45
11215,6,59.99,19,60000,1,자양동,ㅇ,11.00211651,57,46
41590,8,84.93,5,31800,1,반월동,ㅅ,10.36725301,60,41
48330,4,49.06,7,7500,0,기타동,ㅎ,8.922791624,57,29
41410,8,59.98,2,23500,0,산본동,ㅎ,10.06479825,59,37
45111,4,59.955,11,19000,0,서신동,ㅈ,9.852246888,62,38
27260,2,157.06,1,59500,1,기타동,ㅋ,10.9937484,57,46
29155,4,84.82,23,39000,1,기타동,ㅂ,10.57134257,59,49
48240,2,84.9473,5,16700,0,기타동,ㅇ,9.723223877,59,47
28185,4,52.14,14,17400,0,동춘동,ㄷ,9.764282955,55,34
11650,3,101.91,8,95000,1,기타동,ㅅ,11.4616427,55,20
48330,12,84.99,9,24800,1,물금읍 범어리,ㅇ,10.11863925,60,47
11350,11,72.17,13,56500,1,기타동,ㅁ,10.94201362,59,29
41550,4,39.75,7,8000,0,기타동,ㅈ,8.987321813,60,40
29200,1,84.9423,22,38000,1,기타동,ㅇ,10.54536775,63,48
26290,9,84.92,9,51500,1,대연동,ㄷ,10.8493565,58,53
41410,7,49.69,8,22000,0,산본동,ㅁ,9.998843186,57,35
41113,1,59.96,8,19300,0,기타동,ㅌ,9.867912187,59,37
41250,4,50.3,10,12900,0,지행동,ㄷ,9.465060107,56,44
11305,5,49.94,15,24800,1,기타동,ㅈ,10.11863925,58,31
