기준_년분기_코드,상권_구분_코드,상권_코드,서비스_업종_코드,당월_매출_금액,당월_매출_건수,주말_매출_금액,월요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,주중_매출_건수,월요일_매출_건수,일요일_매출_건수,시간대_건수~11_매출_건수,시간대_건수~21_매출_건수
20224,D,3120147,CS200017,453245636.0,12588,187643972.0,55768667.0,72147331.0,36107505.0,53247572.0,147127087.0,38493239.0,0,20557928,90099562.0,7293,1624,1980,880,3467
20224,D,3120170,CS200017,110967637.0,593,26878221.0,22362682.0,9270001.0,0.0,17417088.0,34619151.0,43879594.0,0,0,10120546.0,467,128,29,119,163
20224,R,3130310,CS200017,9034574.0,23,0.0,2630319.0,0.0,0.0,2630319.0,2630319.0,3773936.0,0,2630319,0.0,23,5,0,0,6
20224,U,3001494,CS200019,21958322.0,5829,6852851.0,3309421.0,3253602.0,2943377.0,3053941.0,4274444.0,3070526.0,1060595,7327208,9987996.0,4089,880,806,837,1288
20224,D,3120048,CS200019,108201577.0,20424,36479953.0,14865114.0,15867655.0,12510853.0,15915819.0,32029353.0,17491963.0,4307156,55655991,21595463.0,13554,2692,3079,2047,5982
20224,A,3110128,CS200019,1297372631.0,226959,556015374.0,123987497.0,268383024.0,124683741.0,249241531.0,384586483.0,78213742.0,15947562,387302444,594298586.0,129700,25421,46613,6792,66702
20224,D,3120052,CS200019,287287379.0,53002,104982257.0,35945202.0,49533567.0,34516347.0,38991703.0,93144305.0,52647274.0,6893372,152812537,85418641.0,34047,6258,8608,1959,17898
20224,D,3120142,CS200019,205812455.0,28306,101603072.0,26574900.0,40526359.0,40481696.0,26882216.0,65053762.0,2055283.0,9474111,102995180,80409194.0,14710,2988,5771,1891,8180
20224,R,3130106,CS200019,513331574.0,92851,256938871.0,67148011.0,115497250.0,106619929.0,55128937.0,143779854.0,140693891.0,50390075,262385445,113799170.0,47590,11799,19728,3261,27042
20224,R,3130225,CS200019,179348055.0,35596,59244684.0,24774403.0,29288886.0,18061874.0,18588695.0,60760033.0,17597977.0,8268133,88965786,54898416.0,23481,5150,6018,1342,12255
20224,A,3110460,CS200019,486712179.0,108022,194334645.0,58820910.0,93909524.0,78185112.0,54596543.0,143050104.0,96063451.0,35258496,270981222,96219415.0,67163,14250,19782,5542,31205
20224,D,3120197,CS200019,500179305.0,54096,181000318.0,63520137.0,86606921.0,147530958.0,52900694.0,106788620.0,88712001.0,9139880,244369264,144502130.0,36482,6589,8433,4240,12447
